event_id,team,module,priority,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,deploy_status
2438,Alpha,api,baja,10.25,3.36,255,0,84.2,5.3,success
2003,Alpha,auth,media,5.6,4.21,17,1,86.3,4.62,success
595,Alpha,notifications,media,6.69,3.27,44,0,91.3,30.3,success
4197,Gamma,ui,media,11.75,6.66,91,0,68.3,19.62,success
626,Alpha,api,critica,10.77,3.36,129,0,87.0,3.45,success
451,Gamma,api,media,4.03,5.54,44,0,83.9,3.96,success
4096,Beta,notifications,alta,9.48,4.9,132,0,88.6,10.58,success
3560,Gamma,search,media,7.46,2.29,87,0,95.0,2.22,success
1085,Alpha,notifications,media,7.91,4.87,294,2,94.6,29.93,success
1407,Alpha,payments,media,4.92,2.52,100,0,88.8,4.21,success
1591,Delta,notifications,baja,12.98,3.01,222,2,82.7,33.76,failed
4324,Beta,api,baja,7.53,2.42,79,0,87.9,2.22,success
4511,Delta,search,media,9.14,1.64,101,1,91.9,25.61,success
1579,Gamma,api,alta,18.47,3.05,45,0,66.6,3.8,success
3640,Gamma,auth,baja,7.67,7.05,260,1,73.3,3.15,success
3940,Beta,api,media,14.85,2.78,134,1,86.6,2.95,success
151,Gamma,api,alta,6.11,4.16,237,1,88.4,6.9,success
1439,Gamma,payments,baja,10.28,3.43,89,0,86.4,18.32,success
3964,Gamma,ui,baja,8.45,4.04,378,0,95.5,8.43,success
2700,Gamma,notifications,alta,10.56,1.66,30,0,79.7,3.24,success
1481,Beta,api,media,3.63,3.89,59,0,93.1,6.63,success
89,Alpha,notifications,critica,11.64,4.33,98,2,79.8,1.34,success
458,Gamma,search,critica,8.02,3.12,198,3,85.8,3.3,success
1324,Alpha,auth,baja,3.36,2.95,44,1,87.9,33.6,success
3122,Beta,payments,media,6.4,2.96,170,1,87.2,13.32,success
4462,Alpha,search,media,3.68,3.58,227,1,80.5,12.48,success
3241,Delta,payments,baja,10.57,3.42,136,2,75.4,7.36,success
2299,Delta,ui,media,9.8,3.28,134,2,76.5,11.98,success
2555,Gamma,ui,baja,9.25,2.74,150,1,90.2,20.28,success
3662,Gamma,search,media,8.41,2.56,17,0,97.1,1.88,success
832,Delta,ui,baja,17.52,3.16,293,3,90.6,70.46,success
240,Beta,api,baja,7.39,3.52,315,3,83.8,9.39,success
4690,Beta,payments,baja,10.06,6.34,172,2,86.3,2.48,success
1000,Alpha,ui,baja,6.75,2.72,57,2,84.6,19.74,success
4592,Alpha,notifications,alta,9.37,3.16,99,0,85.2,3.19,success
2396,Delta,api,media,14.46,3.25,42,0,85.3,37.38,success
1972,Alpha,search,alta,10.66,3.78,66,0,94.1,2.51,success
3411,Delta,payments,media,5.56,4.22,608,4,86.7,,success
193,Alpha,auth,baja,10.95,6.01,57,1,88.8,8.37,success
3965,Delta,api,media,10.86,3.06,156,0,94.9,5.99,success
3759,Alpha,ui,alta,7.56,2.94,235,0,84.2,13.09,success
3859,Delta,ui,media,4.88,3.8,27,0,78.2,13.01,success
945,Gamma,api,alta,11.93,3.25,161,4,86.1,12.47,success
4343,Delta,api,media,9.27,3.65,72,0,92.9,8.7,success
3708,Gamma,search,baja,17.98,2.36,103,1,83.6,5.69,success
4239,Delta,notifications,alta,8.51,4.6,129,2,96.1,3.46,success
3800,Beta,auth,baja,6.59,2.87,145,0,91.4,2.62,success
4433,Beta,ui,media,13.76,12.05,81,1,89.3,16.9,success
2414,Beta,api,media,11.56,3.36,153,1,82.3,9.13,success
2030,Delta,auth,alta,8.67,3.95,142,0,98.0,5.82,success
3228,Delta,search,baja,13.6,2.96,71,1,75.9,4.8,failed
2570,Delta,ui,media,8.07,2.34,389,1,93.6,5.51,success
3277,Gamma,auth,baja,10.64,4.17,118,1,91.6,11.71,rolled_back
1873,Alpha,notifications,media,8.85,4.66,149,1,78.7,16.05,success
3483,Gamma,api,baja,13.27,4.46,73,0,93.7,6.7,success
4201,Beta,ui,baja,7.09,5.91,145,0,82.0,5.4,success
4810,Alpha,auth,media,5.29,2.87,161,0,96.7,3.78,success
2764,Gamma,auth,baja,2.26,2.96,176,1,85.6,4.04,success
3699,Delta,search,baja,7.52,3.05,68,0,95.1,12.3,success
1753,Delta,notifications,baja,6.17,3.7,118,2,82.6,9.3,success
2058,Beta,ui,baja,4.75,3.12,136,1,91.2,3.35,success
2528,Beta,ui,alta,5.33,5.51,92,0,88.8,4.17,success
4925,Gamma,notifications,baja,16.44,7.47,417,1,85.3,3.81,success
192,Alpha,auth,baja,5.24,2.8,88,1,77.7,19.54,success
2465,Alpha,api,baja,4.17,1.51,101,1,,2.95,success
2253,Beta,api,alta,14.9,4.54,44,0,94.1,17.4,success
3283,Delta,search,media,10.0,3.06,286,1,75.1,2.85,success
2722,Gamma,search,baja,10.51,2.74,98,0,93.4,15.83,success
1947,Alpha,ui,critica,5.15,3.09,182,1,68.1,4.65,success
2348,Delta,payments,baja,5.68,4.76,111,0,87.2,4.28,success
1621,Delta,payments,baja,16.47,4.46,42,1,83.7,13.67,success
4802,Alpha,ui,alta,7.39,5.01,54,3,81.4,6.69,success
3660,Alpha,ui,media,4.73,3.65,136,3,82.9,3.42,failed
1102,Alpha,search,media,4.48,5.03,95,0,88.9,10.64,success
3412,Delta,payments,baja,6.72,3.78,13,0,92.2,4.52,success
3991,Beta,api,media,7.14,3.5,115,2,77.8,7.54,success
3039,Beta,ui,media,6.56,5.56,117,3,73.2,12.12,failed
167,Beta,search,alta,5.84,2.98,211,2,71.8,11.79,success
1613,Alpha,search,critica,17.25,4.95,76,1,88.0,3.36,success
1273,Beta,api,critica,9.81,4.07,411,3,79.8,9.82,success
1025,Gamma,ui,media,7.17,2.82,241,1,86.3,17.02,success
1336,Beta,auth,media,2.37,2.3,153,0,83.5,6.75,success
2260,Gamma,payments,alta,9.76,5.8,100,0,94.0,4.47,success
3253,Gamma,payments,alta,8.01,2.44,285,1,60.0,7.39,success
1933,Delta,ui,media,6.8,3.79,17,0,86.5,15.83,success
4986,Delta,auth,critica,7.81,2.28,269,3,76.3,6.94,rolled_back
4142,Alpha,notifications,baja,4.53,3.77,27,0,95.4,5.48,success
3649,Delta,ui,media,16.78,2.49,67,1,64.1,14.48,success
153,Beta,ui,media,10.59,1.67,13,1,75.7,12.77,success
2548,Beta,ui,baja,17.77,2.58,66,1,78.8,7.37,success
4697,Beta,ui,baja,12.25,1.78,62,0,97.0,3.37,success
2005,Alpha,notifications,baja,10.37,7.62,77,0,82.2,5.15,success
1490,Gamma,auth,baja,9.2,2.63,35,0,91.9,12.15,success
2907,Gamma,api,alta,16.31,4.08,108,2,67.8,4.37,success
1785,Gamma,auth,media,11.15,3.43,54,1,80.9,12.76,success
2877,Alpha,auth,media,17.98,4.12,36,0,87.9,17.43,success
1104,Alpha,payments,media,3.72,3.24,272,1,71.7,17.86,success
4831,Delta,ui,media,7.54,5.23,102,3,79.1,3.19,failed
2644,Beta,ui,alta,3.74,4.18,149,0,84.4,4.7,success
2592,Gamma,notifications,alta,7.09,3.04,255,0,82.0,5.14,success
32,Gamma,payments,media,5.06,1.24,132,0,92.3,7.57,success
938,Beta,ui,media,15.74,2.99,159,2,79.0,4.78,success
2195,Alpha,ui,media,3.83,3.3,63,0,83.0,4.49,success
1963,Gamma,ui,alta,9.6,4.55,80,0,89.6,2.88,success
3286,Alpha,auth,baja,4.61,6.25,9,0,86.0,6.38,success
310,Gamma,notifications,media,4.49,3.43,119,1,98.2,5.32,success
3167,Delta,api,media,7.89,3.42,562,1,81.7,4.71,success
4932,Delta,notifications,baja,24.05,4.67,50,1,87.1,3.72,success
3127,Beta,notifications,media,5.24,4.97,89,0,90.2,13.27,success
2125,Gamma,auth,critica,6.62,2.82,61,0,79.4,5.04,rolled_back
496,Gamma,auth,baja,7.21,2.21,42,1,93.7,16.31,success
206,Delta,auth,baja,7.51,2.66,222,0,90.2,11.36,success
2687,Gamma,search,media,11.49,2.83,73,1,55.2,4.73,rolled_back
3371,Beta,api,media,12.6,1.49,187,0,93.6,6.28,success
3846,Alpha,search,media,5.19,2.65,401,1,92.1,7.75,success
306,Beta,notifications,media,12.92,4.7,102,0,91.0,3.48,success
3809,Delta,notifications,baja,7.14,2.93,319,1,87.5,6.45,success
4010,Beta,notifications,baja,4.25,6.46,71,1,89.4,2.11,success
1062,Delta,api,media,9.84,4.49,25,1,83.2,5.62,success
844,Beta,auth,baja,14.18,2.2,70,0,89.3,11.52,success
2727,Alpha,notifications,baja,9.44,3.18,227,1,77.3,5.9,success
2265,Gamma,ui,alta,14.46,6.17,196,1,83.8,3.55,success
212,Delta,search,media,6.16,3.05,153,1,91.1,23.6,success
4613,Beta,ui,media,9.11,2.0,76,0,91.6,11.45,success
680,Alpha,ui,baja,7.42,5.34,127,0,67.8,9.25,success
566,Beta,payments,media,5.87,3.02,187,2,97.1,5.3,success
4720,Alpha,ui,alta,8.52,2.31,88,0,91.2,16.12,success
3935,Alpha,api,media,15.97,6.37,241,2,84.8,4.01,rolled_back
681,Beta,notifications,media,27.17,8.83,114,1,90.3,11.1,success
181,Gamma,api,alta,17.08,4.74,144,0,78.5,1.99,success
2674,Delta,api,baja,18.59,2.4,127,0,93.5,4.74,success
2941,Beta,notifications,media,4.24,2.16,160,2,91.7,3.18,success
2330,Beta,ui,alta,4.88,4.05,93,1,70.9,6.15,success
4282,Beta,auth,media,6.02,6.92,108,1,86.7,6.7,success
279,Beta,api,alta,5.91,7.15,118,0,93.8,9.06,success
1293,Beta,api,baja,7.4,1.66,111,0,90.5,22.7,success
1296,Gamma,api,alta,15.94,2.24,38,2,90.2,2.85,success
433,Gamma,api,media,9.51,4.34,294,1,85.0,10.46,success
290,Gamma,notifications,baja,3.03,2.18,158,1,68.2,10.26,success
1028,Gamma,notifications,alta,8.86,4.2,148,0,65.9,5.14,success
536,Alpha,auth,media,6.98,4.51,61,0,93.3,2.05,success
3444,Delta,api,alta,6.4,2.92,169,0,74.2,3.57,success
189,Gamma,search,alta,6.77,3.36,205,0,89.7,6.52,success
2188,Alpha,payments,media,3.84,2.82,226,2,88.7,11.5,success
3931,Beta,api,media,13.15,4.24,193,1,84.6,5.01,success
3700,Beta,auth,baja,5.17,2.74,66,1,79.9,3.2,success
271,Gamma,notifications,media,9.18,3.31,282,3,89.5,9.3,success
2134,Alpha,notifications,media,4.3,2.99,75,1,88.2,3.62,success
4791,Beta,search,critica,4.85,5.15,275,0,98.3,4.6,success
2171,Beta,api,baja,7.53,2.86,108,1,89.9,7.17,success
3711,Beta,api,baja,9.98,4.25,182,1,93.8,4.34,success
112,Beta,search,baja,4.87,4.03,261,2,91.1,4.91,success
3078,Alpha,payments,baja,3.94,2.44,20,0,70.6,27.08,success
221,Gamma,auth,media,10.74,5.56,299,1,93.2,4.86,success
628,Gamma,auth,media,22.43,4.97,237,0,78.0,23.36,success
3533,Alpha,auth,alta,5.44,2.73,152,2,70.7,7.59,success
4800,Delta,auth,baja,15.72,5.76,49,0,79.0,3.88,success
4970,Alpha,api,media,2.6,2.55,81,0,91.8,17.2,success
791,Alpha,notifications,baja,8.03,5.16,50,1,90.4,17.07,success
2283,Beta,api,critica,4.65,4.49,93,0,95.7,7.41,success
462,Alpha,ui,alta,9.88,5.08,318,2,73.1,3.42,failed
4411,Gamma,api,media,4.14,2.0,38,1,75.2,20.91,success
552,Beta,ui,alta,18.78,2.52,350,2,92.2,7.13,success
2949,Gamma,api,critica,4.63,2.46,301,2,78.8,4.56,success
1174,Beta,api,baja,5.98,3.14,36,1,86.0,12.52,success
199,Alpha,search,media,6.26,3.48,188,1,73.5,5.14,success
2603,Alpha,api,critica,8.57,2.84,57,1,74.8,9.0,success
2744,Delta,notifications,alta,12.75,2.61,211,4,90.1,6.4,success
403,Gamma,payments,media,10.3,3.09,24,1,77.4,11.42,success
4903,Beta,api,alta,3.91,2.75,159,3,93.0,6.72,success
2965,Delta,notifications,media,7.04,4.14,140,1,74.1,3.16,success
4772,Beta,auth,media,3.45,7.49,13,0,87.5,7.38,success
2046,Delta,notifications,media,8.4,2.33,137,1,91.1,11.15,success
1780,Gamma,api,baja,6.99,2.94,72,0,88.5,18.55,success
4471,Beta,ui,media,10.87,2.98,148,2,87.2,15.51,success
651,Alpha,ui,media,10.63,6.89,190,0,92.8,1.09,success
709,Alpha,auth,alta,6.19,1.91,78,1,88.1,,success
3721,Beta,ui,baja,7.25,2.7,62,0,84.6,16.48,success
4423,Alpha,notifications,baja,3.14,2.31,39,0,77.8,18.7,success
4616,Beta,payments,baja,10.43,3.34,138,0,74.7,11.43,success
4329,Beta,ui,media,8.79,2.72,69,0,79.3,12.34,success
4830,Delta,ui,alta,8.98,5.8,65,1,84.6,4.51,success
315,Delta,notifications,media,7.84,3.6,300,2,91.3,4.02,success
3802,Beta,auth,baja,9.36,5.89,231,2,92.0,10.57,success
4483,Alpha,api,critica,5.15,2.32,52,1,95.9,5.28,success
114,Beta,ui,baja,17.44,4.3,146,2,,5.39,success
961,Alpha,api,media,7.0,2.8,101,1,88.0,6.97,success
4544,Alpha,search,media,6.77,2.26,29,0,92.0,3.03,success
3244,Gamma,auth,critica,16.0,3.26,211,0,90.9,3.5,success
4111,Beta,auth,media,8.9,2.18,6,0,91.2,7.57,success
4011,Alpha,ui,critica,5.81,3.82,65,2,89.5,5.31,success
3336,Gamma,api,media,17.5,3.64,101,1,89.4,14.15,success
1596,Beta,auth,critica,11.41,3.36,659,1,91.1,0.95,success
3208,Gamma,payments,media,16.41,4.53,164,2,84.0,8.05,success
2037,Gamma,api,alta,11.02,3.08,145,2,78.4,14.5,failed
3428,Gamma,ui,critica,5.74,2.19,13,3,75.3,4.65,success
4537,Gamma,api,critica,3.37,3.99,294,2,89.3,7.59,success
1836,Beta,ui,baja,6.47,2.57,145,0,82.7,6.19,success
1944,Alpha,search,media,5.3,3.72,7,0,86.2,23.98,success
1539,Beta,notifications,media,12.11,2.64,486,2,73.5,4.26,success
4049,Beta,ui,baja,7.36,3.15,189,1,56.9,7.04,success
2012,Delta,ui,media,7.67,3.12,58,1,72.3,14.14,success
4199,Beta,ui,media,5.95,1.75,179,0,63.0,1.6,success
3689,Beta,notifications,critica,5.69,6.56,59,0,82.2,2.86,success
2593,Alpha,api,baja,9.98,1.94,31,0,87.0,10.85,success
2293,Alpha,ui,baja,7.56,2.19,176,0,67.3,13.36,success
4700,Beta,payments,media,5.96,6.19,52,2,72.0,4.48,success
2875,Alpha,ui,CRITICA,17.37,3.57,73,0,91.6,5.89,failed
3339,Delta,search,baja,7.97,6.96,172,0,80.8,16.77,success
1445,Alpha,api,alta,7.11,2.46,123,2,86.3,2.1,success
3085,Gamma,ui,media,19.59,4.44,30,0,81.7,8.92,rolled_back
1745,Gamma,payments,alta,11.71,2.44,110,2,91.5,15.39,success
790,Beta,payments,alta,8.62,2.99,166,2,92.0,14.93,success
2433,Delta,search,baja,12.65,6.0,196,1,84.3,13.48,success
3050,Beta,auth,media,5.9,2.74,11,2,69.5,10.24,success
4078,Gamma,api,media,9.12,3.87,57,1,85.0,12.1,success
872,Alpha,search,baja,7.79,2.47,17,0,83.4,4.48,success
1719,Alpha,api,baja,4.61,2.47,103,0,90.2,23.57,success
1346,Gamma,search,baja,13.37,3.14,150,2,71.9,20.97,success
1339,Gamma,auth,media,19.03,2.83,313,0,,16.41,success
74,Delta,search,alta,12.58,4.73,205,0,84.2,3.83,success
4141,Delta,payments,baja,4.78,3.32,102,1,65.8,3.9,success
3651,Alpha,api,baja,8.51,2.17,25,0,90.0,7.03,success
1361,Beta,auth,media,10.97,3.75,126,0,84.3,9.25,success
3023,Alpha,search,media,4.35,4.17,122,0,82.7,2.98,success
3018,Beta,auth,baja,5.21,3.28,185,1,88.7,8.14,success
4640,Alpha,notifications,critica,11.1,2.19,137,5,,6.93,success
3825,Delta,api,media,17.83,4.01,182,0,85.8,8.79,success
3419,Alpha,search,alta,5.42,3.84,423,2,,30.84,success
2898,Beta,api,baja,5.49,5.49,46,0,93.4,3.31,success
1748,Delta,payments,baja,15.03,2.77,65,1,90.8,3.59,success
495,Delta,payments,alta,9.22,6.63,121,2,94.7,5.53,success
3144,Alpha,payments,baja,5.78,5.64,138,1,86.5,,success
2631,Beta,auth,baja,8.8,2.23,67,0,89.6,6.8,success
4915,Alpha,auth,baja,7.88,2.68,55,2,91.1,5.18,failed
1165,Gamma,payments,media,4.68,2.0,85,0,84.7,8.79,success
3354,Gamma,payments,media,7.19,2.66,135,0,87.7,19.53,success
2270,Alpha,api,critica,6.37,4.77,121,0,76.5,5.55,success
1515,Gamma,ui,media,8.11,2.27,113,2,87.8,5.41,success
4491,Gamma,auth,media,5.57,3.36,148,1,91.8,17.24,success
2459,Alpha,notifications,alta,5.36,3.84,225,0,79.6,9.69,success
619,Alpha,notifications,critica,9.78,3.35,77,2,80.5,2.84,rolled_back
1721,Gamma,payments,critica,11.06,5.42,83,0,87.4,3.02,success
1879,Beta,payments,baja,12.08,4.87,68,0,90.9,13.18,success
4178,Gamma,api,alta,8.48,1.51,109,1,73.8,4.62,success
2526,Alpha,search,baja,6.25,3.8,66,1,92.5,8.25,success
2087,Gamma,api,media,9.91,3.88,213,1,73.8,11.17,success
3424,Gamma,notifications,critica,13.82,5.69,66,1,76.7,6.23,success
870,Gamma,auth,media,5.95,2.68,199,0,82.5,10.88,success
4907,Gamma,ui,media,14.9,5.02,142,0,93.0,11.86,success
1043,Beta,auth,baja,5.95,5.56,85,0,79.6,8.42,success
3876,Gamma,notifications,media,14.91,2.08,472,3,78.0,2.38,success
357,Alpha,api,alta,4.61,6.91,321,2,84.9,3.9,success
1163,Delta,payments,alta,11.07,2.51,5,1,81.6,16.94,success
2779,Gamma,api,media,7.36,6.65,41,2,86.1,9.57,success
4442,Beta,ui,critica,4.05,2.43,324,2,74.1,1.18,success
4867,Delta,search,alta,8.29,4.63,210,2,92.4,6.19,success
1570,Delta,notifications,media,6.58,3.62,199,0,,9.94,success
2105,Gamma,auth,media,5.77,2.89,84,0,94.3,4.68,success
3561,Alpha,search,baja,8.9,3.5,182,0,76.1,3.45,success
3655,Gamma,notifications,alta,4.73,3.0,364,3,85.8,2.53,success
2760,Beta,api,baja,4.32,5.02,133,1,71.5,3.72,success
3966,Delta,api,media,5.71,4.46,72,0,86.8,1.78,success
333,Alpha,ui,media,4.48,4.2,298,3,77.0,21.58,success
2124,Alpha,auth,media,8.6,3.26,31,1,70.4,7.23,rolled_back
2750,Delta,auth,media,7.24,2.39,81,0,80.1,9.39,success
1624,Delta,payments,media,5.2,4.93,9,0,98.6,24.13,success
3683,Alpha,search,alta,6.94,3.34,78,1,77.2,3.82,success
1653,Gamma,ui,alta,13.77,3.85,241,2,93.9,4.21,success
1117,Gamma,notifications,media,7.89,4.16,160,1,78.8,2.93,success
1874,Beta,api,media,5.27,4.18,45,0,89.6,5.6,success
3569,Delta,search,media,9.74,2.9,34,1,,11.4,success
2481,Gamma,ui,baja,12.87,3.36,7,0,92.4,26.35,success
4382,Beta,ui,media,20.36,5.69,268,2,89.3,2.68,success
2776,Delta,auth,alta,2.06,1.58,234,2,93.4,7.99,success
446,Beta,auth,media,4.67,3.26,162,1,90.1,21.76,success
2388,Delta,search,alta,8.48,3.91,123,0,76.4,9.82,success
453,Beta,auth,alta,7.52,4.35,85,1,83.7,3.05,success
2291,Alpha,auth,media,6.56,3.4,108,0,71.1,3.42,success
4443,Delta,search,media,4.99,1.91,229,2,80.4,4.66,success
4561,Beta,api,alta,4.83,4.49,44,2,67.8,10.46,success
15,Delta,api,critica,10.97,1.62,119,1,88.0,1.07,success
2928,Beta,api,baja,9.87,,17,0,86.8,33.52,success
946,Beta,ui,alta,8.53,2.52,100,1,92.3,15.11,success
248,Alpha,ui,baja,2.83,3.83,137,1,85.5,7.93,success
3231,Beta,api,baja,4.33,5.6,102,1,74.0,2.78,success
361,Beta,auth,alta,7.44,3.62,89,1,81.6,2.66,success
4665,Beta,api,alta,6.44,2.07,86,1,90.3,2.94,success
3742,Beta,api,baja,9.52,5.11,18,0,89.5,14.85,success
2317,Alpha,notifications,baja,11.3,4.85,123,2,98.2,4.04,success
1671,Gamma,api,alta,6.74,,152,3,81.8,4.45,success
3182,Alpha,api,alta,3.08,4.39,365,2,86.1,4.59,success
3653,Delta,api,media,12.69,2.83,116,0,79.6,4.69,success
3505,Beta,ui,media,9.76,5.43,269,1,93.7,2.2,success
2918,Gamma,ui,media,3.09,2.18,147,1,75.5,7.19,success
4893,Gamma,payments,media,16.74,5.2,106,0,86.0,23.63,success
2866,Alpha,payments,baja,10.89,3.86,237,1,81.2,6.95,success
491,Delta,api,baja,5.31,2.04,87,0,88.5,8.57,success
863,Gamma,search,media,5.41,2.35,111,1,96.4,4.21,success
3543,Delta,notifications,media,8.29,3.74,80,1,85.1,2.08,success
2226,Delta,notifications,media,5.94,2.56,85,3,83.8,2.03,success
2334,Delta,ui,alta,4.4,4.15,25,0,87.0,5.8,failed
2461,Alpha,notifications,media,5.24,2.89,108,2,78.5,17.28,success
4714,Gamma,notifications,media,12.05,4.01,355,3,97.5,3.16,failed
507,Beta,auth,critica,6.25,2.26,81,1,88.6,14.92,success
4904,Gamma,auth,alta,16.18,4.38,237,1,95.4,4.13,success
4973,Delta,ui,media,6.13,3.32,63,3,86.7,13.15,success
2084,Gamma,auth,media,3.64,5.42,113,0,78.4,5.08,success
1223,Delta,auth,media,5.2,3.52,105,0,90.5,14.47,success
1114,Delta,ui,alta,3.85,2.63,167,1,86.8,7.71,success
2179,Alpha,ui,baja,2.57,2.4,80,0,95.3,3.66,success
4746,Alpha,search,baja,4.92,6.26,18,0,95.6,4.94,success
4572,Gamma,ui,alta,7.93,2.41,42,0,88.0,6.43,success
4681,Alpha,api,alta,5.1,1.92,101,2,65.6,6.93,success
434,Delta,auth,media,7.46,5.79,107,0,87.3,4.03,success
2229,Gamma,api,baja,6.49,4.01,227,0,78.1,23.1,success
3168,Beta,api,media,3.93,3.63,300,3,70.2,4.86,failed
3008,Beta,ui,alta,11.73,1.17,75,0,91.3,3.67,success
2219,Alpha,search,media,10.3,1.65,186,1,92.6,6.81,success
1540,Beta,ui,media,7.94,2.82,169,1,87.6,4.05,success
4696,Beta,notifications,baja,14.04,3.93,86,0,83.2,10.95,success
2146,Alpha,ui,baja,4.43,2.73,74,0,74.1,16.19,success
1428,Delta,api,baja,5.38,6.56,127,3,88.5,9.09,success
2930,Beta,auth,media,8.41,3.83,63,1,78.6,3.52,success
1103,Delta,auth,media,10.24,1.67,107,0,92.5,2.83,success
2101,Delta,auth,media,9.86,5.94,70,0,88.7,11.26,success
3201,Beta,api,baja,11.87,1.78,147,0,84.0,9.34,success
4864,Alpha,notifications,media,5.4,4.35,148,2,91.6,4.53,success
3858,Alpha,auth,alta,7.23,2.34,121,1,-7.0,5.76,success
157,Gamma,api,baja,11.23,3.27,111,0,85.1,5.01,success
2992,Gamma,auth,baja,7.46,,57,0,78.3,7.84,success
3691,Alpha,ui,critica,6.99,4.77,157,1,,3.6,success
616,Gamma,api,alta,4.74,2.37,32,1,91.0,5.48,success
644,Beta,auth,alta,5.52,4.27,73,2,87.8,11.01,success
3958,Beta,payments,alta,5.39,3.01,156,1,94.9,12.27,success
2518,Beta,ui,critica,4.3,5.56,202,1,83.1,1.38,success
1069,Alpha,api,baja,7.15,3.05,133,0,74.3,8.37,success
3540,Gamma,search,media,6.37,3.42,37,0,80.7,12.77,success
2659,Alpha,auth,media,7.73,3.43,132,1,73.4,36.63,success
4248,Delta,auth,baja,11.34,3.27,84,1,84.9,11.16,success
1584,Alpha,ui,baja,4.76,1.98,56,0,84.9,2.45,success
331,Beta,ui,media,5.1,3.19,190,0,86.9,7.57,success
3803,Gamma,payments,critica,2.91,4.54,190,4,86.7,2.33,success
2660,Beta,api,critica,6.97,1.42,157,1,93.0,5.92,success
4993,Alpha,payments,media,7.52,3.39,227,1,78.0,5.31,success
623,Beta,search,media,8.26,3.97,85,1,87.3,5.93,success
1618,Delta,notifications,media,4.93,4.03,374,1,83.0,12.71,success
4774,Beta,api,media,2.04,3.13,107,2,79.0,8.3,success
4059,Alpha,api,baja,4.75,2.56,68,1,70.6,24.6,failed
2963,Beta,auth,baja,8.87,3.55,53,2,72.2,23.31,success
2115,Alpha,auth,baja,5.46,5.64,36,0,80.4,41.9,success
4215,Delta,auth,media,23.19,3.8,46,0,83.1,6.46,success
2723,Alpha,search,media,7.27,3.2,164,1,69.9,6.26,success
756,Delta,payments,media,6.95,4.08,24,0,96.9,14.14,success
519,Alpha,auth,baja,7.49,2.7,117,0,84.8,9.69,success
4358,Delta,api,critica,9.71,7.2,164,2,89.8,2.34,success
33,Alpha,notifications,alta,6.46,3.04,42,1,104.4,4.84,rolled_back
4689,Alpha,auth,media,2.82,2.71,111,0,74.1,,success
1158,Beta,ui,media,14.34,2.92,163,0,58.3,5.46,success
745,Delta,api,media,6.54,2.6,63,0,70.7,16.56,success
1422,Delta,api,baja,6.86,3.14,205,1,91.8,34.52,success
2417,Delta,ui,media,20.62,3.95,258,2,98.1,4.18,success
1659,Alpha,ui,baja,8.1,3.62,167,1,82.4,12.43,success
3494,Alpha,ui,alta,3.84,2.88,168,1,91.7,17.29,success
784,Delta,api,media,3.68,2.87,70,0,89.4,5.22,success
2788,Delta,api,media,4.73,2.53,103,1,89.7,5.08,success
2521,Beta,api,baja,6.03,,377,4,92.1,43.4,success
230,Beta,auth,media,10.7,2.77,119,2,82.4,1.7,success
858,Alpha,notifications,alta,4.0,3.01,181,1,86.5,4.33,success
4570,Delta,api,media,10.31,4.93,186,0,79.3,3.99,success
2958,Beta,api,critica,3.61,3.55,396,6,86.1,1.58,failed
409,Beta,ui,baja,8.98,5.88,127,0,76.0,2.45,success
171,Alpha,ui,alta,7.42,4.71,80,0,87.5,0.56,success
541,Beta,notifications,critica,3.53,1.52,419,3,79.6,3.8,success
2224,Beta,ui,baja,7.64,3.24,82,0,79.8,32.33,success
2318,Alpha,api,alta,6.73,7.26,112,1,80.4,10.11,success
2581,Delta,api,media,4.59,3.28,118,1,72.7,25.66,success
614,Beta,notifications,critica,12.5,3.01,310,0,94.3,3.76,success
2647,Beta,search,media,12.71,2.69,306,3,91.9,5.57,failed
1832,Beta,payments,alta,4.37,3.9,154,2,88.6,4.11,failed
3619,Beta,ui,critica,8.01,3.41,194,0,92.8,3.69,success
1162,Beta,payments,baja,6.71,3.04,78,0,75.9,4.1,success
2074,Beta,notifications,media,3.54,1.98,304,2,80.6,23.5,success
2379,Delta,api,media,10.04,3.24,265,2,65.5,2.38,success
1617,Beta,api,alta,5.1,2.43,66,3,87.4,7.07,success
1633,Gamma,ui,baja,5.62,3.37,105,0,87.0,16.03,success
4196,Beta,auth,media,7.59,2.46,196,2,72.1,3.01,success
2212,Gamma,payments,critica,11.55,1.95,176,0,84.1,2.88,success
565,Alpha,api,baja,10.05,3.81,243,0,98.1,14.13,success
3587,Beta,api,baja,7.49,8.76,271,2,92.2,76.61,success
4256,Beta,auth,media,14.95,2.43,21,0,74.4,6.46,success
1819,Beta,notifications,alta,5.91,2.9,316,2,76.7,1.04,success
1492,Gamma,auth,alta,7.62,2.38,211,0,83.1,3.22,success
1850,Delta,api,media,6.66,2.41,69,0,86.0,15.18,success
1420,Alpha,ui,media,5.58,2.91,36,2,77.4,4.79,success
4937,Alpha,search,alta,10.93,3.51,56,1,81.2,5.33,failed
3973,Beta,notifications,critica,14.32,3.48,60,1,79.3,6.63,success
1555,Delta,search,media,5.5,4.75,101,3,57.4,11.97,success
2407,Gamma,ui,baja,9.88,4.67,74,1,89.1,3.53,success
2498,Beta,ui,alta,3.21,1.83,55,0,87.9,,success
2415,Beta,payments,media,12.68,3.49,337,0,80.5,,success
